Common name,Scientific name,Season,Functional uses,Warnings / negative effects,Plant structure,Root type,Crude protein (%),Prohibitive soil,Life cycle,C:N ratio,Nitrogen fixation score,Erosion control score,Weed suppression score,Root depth score,Forage value score,Soil adaptability score,Cost level score,Risk factor score
Chickpea,Cicer arietinum L.,Cool,Nitrogen fixation,Root rot susceptibility,Upright,Tap root system,16.56–24.64,Alkaline soil,Annual,18:1–22:1,5,2,2,4,4,4,3,1
Balansa clover,Trifolium michelianum,Cool,Nitrogen fixation,Redlegged earth mite susceptibility,Upright,Tap root system,22–28,Acidic soil,Annual,15:1–20:1,5,2,2,4,4,4,4,1
Berseem clover,Trifolium alexandrinum,Warm,Nitrogen scavenger,Weedy or invasive,Upright,Short taproot and fibrous root system,28–30,Sandy soil,Annual,15:1–20:1,2,2,2,4,4,4,3,3
Mung bean,Vigna radiata,Warm,Drought tolerance; nitrogen fixation,Susceptible to common foliar diseases,Upright,Taproot,16–23,Compacted soil,Annual,16:1,5,2,2,4,3,4,3,2
Sunn hemp,Crotalaria juncea,Warm,Nitrogen fixation; shade tolerance,Avoid grazing after flowering,Upright,Taproot,18–22,Saline soil,Annual,14:1–30:1,5,2,2,4,4,4,3,1
White clover,Trifolium repens,Warm,Nitrogen fixation; reducing soil compaction,Bloat risk to livestock without careful grazing management,Creeping,Taproot,9.8–30.5,Highly acidic soil,Perennial,14:1,5,4,2,4,4,4,4,2
Annual ryegrass,Lolium multiflorum,Cool,Soil erosion reduction,Difficult to terminate; generally not recommended except for specific uses and experienced cover crop users,Upright,Fibrous root; adventitious root,5.8–15.2,Highly acidic soil; highly alkaline soil,Annual,20:1–31:1,1,5,2,3,2,3,2,2
Spring barley,Hordeum vulgare,Cool,Soil erosion reduction; compaction reduction,May increase black cutworm and armyworm risk; may increase green bridge and pythium seedling disease risk; host of root lesion nematode,Upright,Deep fibrous root,11,Sandy soil,Annual,20:1,1,5,2,3,2,4,2,2
Cereal rye,Secale cereale L.,Cool,Annual weed control,More sensitive to ergot than other cereals,Upright,Fibrous root,8–15,Waterlogged soil,Annual,40:1,1,2,5,3,2,4,2,2
Pearl millet,Pennisetum glaucum,Warm,Goat feed substitute,Can accumulate toxic nitrate levels under nitrogen fertilization and stress conditions,Upright,Fibrous root,12–14,Waterlogged soil,Annual,>50:1,1,2,2,3,4,4,2,2
Sudangrass,Sorghum bicolor L. Moench,Warm,Drought tolerance,Nitrate poisoning risk; prussic acid poisoning risk,Upright,Fibrous root,4.29–8.80,"Coarse, porous, sandy, gravelly soils",Annual,50:1–68:1,1,2,2,3,2,4,2,2
Sunflower,Helianthus annuus L.,Warm,Drought tolerance,"Can accumulate heavy metals, mainly in roots",Upright,Tap root,17–20,Heavy loam and clay soils; waterlogged soil; saline soil,Annual,24:1,1,2,2,4,3,1,3,1
Sugar beet,Beta vulgaris,Cool,Nitrogen scavenging; drought tolerance,Choking and bloat risk to livestock if roots are not crushed or chopped before feeding,Basal rosette,Large taproot,7.8,Poorly drained soils; poorly drained muck or organic soils,Biennial,11:1–14:1,2,2,2,4,3,5,3,2
Lentils,Lens culinaris,Cool,Drought tolerance; nitrogen fixation; low fertility tolerance,Weak weed competitor; susceptible to root rots and foliar diseases; sensitive to herbicide residues and carryover,"Single or branched, upright stem",Taproot with lateral roots,26.9,Waterlogged or poorly drained soils; saline soils,Annual,9:1,5,2,2,4,4,3,3,2
Faba bean,Vicia faba L.,Cool,Nitrogen fixation; compaction reduction; erosion control; low fertility tolerance; quick growth,Anti-nutritional compounds present (vicine and convicine),Erect growth habit with stout stems,"Broad, shallow taproot with lateral roots",22–38,Poorly drained acidic soils; strongly acidic soils,Annual,20:1–24:1,5,5,2,4,4,4,4,1
Lupins,Lupinus species,Cool,Nitrogen fixation; soil compaction alleviation,Quinolizidine alkaloids present; toxic to livestock,Upright,"Strong, deep taproot system",32–44,Heavy soils with standing water; waterlogged soils,Annual,12:1–18:1,5,4,2,5,4,3,4,2
Cluster bean,Cyamopsis tetragonoloba (L.) Taub.,Warm,Nitrogen fixation; drought tolerance,Hosts insect pests that reduce seed production; susceptible to major foliar diseases such as Alternaria leaf spot and bacterial blight,Upright,Deep taproot system,13.88,Very heavy soils; waterlogged soils; saline soils; alkaline soils,Annual,65:1,5,2,2,5,3,1,3,3
Alfalfa,Medicago sativa L.,Cool,Nitrogen fixation; soil building; nutrient recycling; nutrient scavenging,Pest host; bloat risk to livestock,Upright,Taproot,14–22,Sand; clay; shallow soils; acidic soils; alkaline soils; saline soils; sodic soils; high boron; waterlogged soils; fluctuating high water table,Perennial,11:1–13:1,5,4,2,4,4,1,4,3
Pigeonpea,Cajanus cajan,Warm,Nitrogen fixation; phosphorus recycling; soil building; weed suppression,Allelopathic residue; pest host; disease host,Upright,Deep-rooting taproot,20.1,Waterlogged or flooded conditions,Perennial,15.85:1,5,4,5,5,4,3,3,3
Annual fescue,Vulpia myuros (L.) C.C. Gmel.,Cool,Erosion control; soil permeability improvement; weed suppression,Can become invasive in cereals; difficult to control in no-till; low forage value; livestock injury risk from spiky seeds; phytotoxic residues may suppress following crops,Upright,Fibrous root system,8–10,Saline soil,Annual,20:1,1,5,5,3,3,4,2,5
